agency_cd	site_no	datetime	18601_00060_00003	18601_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09066325	2000-07-22	63.0	A
USGS	09066325	2000-07-23	60.0	A
USGS	09066325	2000-07-24	57.0	A
USGS	09066325	2000-07-25	54.0	A
USGS	09066325	2000-07-26	51.0	A
USGS	09066325	2000-07-27	49.0	A
USGS	09066325	2000-07-28	47.0	A
USGS	09066325	2000-07-29	45.0	A
USGS	09066325	2000-07-30	42.0	A
USGS	09066325	2000-07-31	40.0	A
USGS	09066325	2000-08-01	37.0	A
USGS	09066325	2000-08-02	36.0	A
USGS	09066325	2000-08-03	36.0	A
USGS	09066325	2000-08-04	34.0	A
USGS	09066325	2000-08-05	35.0	A
USGS	09066325	2000-08-06	34.0	A
USGS	09066325	2000-08-07	32.0	A
USGS	09066325	2000-08-08	30.0	A
USGS	09066325	2000-08-09	29.0	A
USGS	09066325	2000-08-10	30.0	A
USGS	09066325	2000-08-11	34.0	A
USGS	09066325	2000-08-12	35.0	A
USGS	09066325	2000-08-13	33.0	A
USGS	09066325	2000-08-14	30.0	A
USGS	09066325	2000-08-15	30.0	A
USGS	09066325	2000-08-16	36.0	A
USGS	09066325	2000-08-17	39.0	A
USGS	09066325	2000-08-18	53.0	A
USGS	09066325	2000-08-19	54.0	A
USGS	09066325	2000-08-20	47.0	A
USGS	09066325	2000-08-21	45.0	A
USGS	09066325	2000-08-22	44.0	A
USGS	09066325	2000-08-23	38.0	A
USGS	09066325	2000-08-24	36.0	A
USGS	09066325	2000-08-25	44.0	A
USGS	09066325	2000-08-26	41.0	A
USGS	09066325	2000-08-27	40.0	A
USGS	09066325	2000-08-28	40.0	A
USGS	09066325	2000-08-29	52.0	A
USGS	09066325	2000-08-30	47.0	A
USGS	09066325	2000-08-31	48.0	A
USGS	09066325	2000-09-01	44.0	A
USGS	09066325	2000-09-02	40.0	A
USGS	09066325	2000-09-03	37.0	A
USGS	09066325	2000-09-04	33.0	A
USGS	09066325	2000-09-05	33.0	A
USGS	09066325	2000-09-06	37.0	A
USGS	09066325	2000-09-07	38.0	A
USGS	09066325	2000-09-08	39.0	A
USGS	09066325	2000-09-09	46.0	A
USGS	09066325	2000-09-10	37.0	A
USGS	09066325	2000-09-11	33.0	A
USGS	09066325	2000-09-12	30.0	A
USGS	09066325	2000-09-13	28.0	A
USGS	09066325	2000-09-14	27.0	A
USGS	09066325	2000-09-15	26.0	A
USGS	09066325	2000-09-16	25.0	A
USGS	09066325	2000-09-17	24.0	A
USGS	09066325	2000-09-18	25.0	A
USGS	09066325	2000-09-19	25.0	A
USGS	09066325	2000-09-20	23.0	A
USGS	09066325	2000-09-21	35.0	A
USGS	09066325	2000-09-22	60.0	A
USGS	09066325	2000-09-23	48.0	A
USGS	09066325	2000-09-24	45.0	A
USGS	09066325	2000-09-25	42.0	A
USGS	09066325	2000-09-26	43.0	A
USGS	09066325	2000-09-27	40.0	A
USGS	09066325	2000-09-28	37.0	A
USGS	09066325	2000-09-29	37.0	A
USGS	09066325	2000-09-30	36.0	A
USGS	09066325	2000-10-01	32.0	A
USGS	09066325	2000-10-02	30.0	A
USGS	09066325	2000-10-03	30.0	A
USGS	09066325	2000-10-04	33.0	A
USGS	09066325	2000-10-05	38.0	A
USGS	09066325	2000-10-06	36.0	A
USGS	09066325	2000-10-07	32.0	A
USGS	09066325	2000-10-08	30.0	A
USGS	09066325	2000-10-09	28.0	A
USGS	09066325	2000-10-10	27.0	A
USGS	09066325	2000-10-11	27.0	A
USGS	09066325	2000-10-12	26.0	A
USGS	09066325	2000-10-13	24.0	A
USGS	09066325	2000-10-14	24.0	A
USGS	09066325	2000-10-15	23.0	A
USGS	09066325	2000-10-16	23.0	A
USGS	09066325	2000-10-17	22.0	A
USGS	09066325	2000-10-18	27.0	A
USGS	09066325	2000-10-19	26.0	A
USGS	09066325	2000-10-20	22.0	A
USGS	09066325	2000-10-21	21.0	A
USGS	09066325	2000-10-22	21.0	A
USGS	09066325	2000-10-23	21.0	A
USGS	09066325	2000-10-24	21.0	A
USGS	09066325	2000-10-25	21.0	A
USGS	09066325	2000-10-26	20.0	A
USGS	09066325	2000-10-27	20.0	A
USGS	09066325	2000-10-28	24.0	A
USGS	09066325	2000-10-29	27.0	A
USGS	09066325	2000-10-30	23.0	A
USGS	09066325	2000-10-31	23.0	A
USGS	09066325	2000-11-01	22.0	A
USGS	09066325	2000-11-02	23.0	A
USGS	09066325	2000-11-03	22.0	A
USGS	09066325	2000-11-04	26.0	A:e
USGS	09066325	2000-11-05	26.9	A:e
USGS	09066325	2000-11-06	22.9	A:e
USGS	09066325	2000-11-07	22.9	A:e
USGS	09066325	2000-11-08	23.0	A:e
USGS	09066325	2000-11-09	22.0	A:e
USGS	09066325	2000-11-10	23.8	A:e
USGS	09066325	2000-11-11	22.9	A:e
USGS	09066325	2000-11-12	22.0	A:e
USGS	09066325	2000-11-13	22.0	A:e
USGS	09066325	2000-11-14	22.0	A:e
USGS	09066325	2000-11-15	22.0	A:e
USGS	09066325	2000-11-16	21.9	A:e
USGS	09066325	2000-11-17	22.0	A:e
USGS	09066325	2000-11-18	22.0	A:e
USGS	09066325	2000-11-19	22.9	A:e
USGS	09066325	2000-11-20	22.1	A:e
USGS	09066325	2000-11-21	22.0	A:e
USGS	09066325	2000-11-22	22.0	A:e
USGS	09066325	2000-11-23	22.0	A:e
USGS	09066325	2000-11-24	20.9	A:e
USGS	09066325	2000-11-25	20.9	A:e
USGS	09066325	2000-11-26	18.7	A:e
USGS	09066325	2000-11-27	19.5	A:e
USGS	09066325	2000-11-28	20.1	A:e
USGS	09066325	2000-11-29	19.0	A:e
USGS	09066325	2000-11-30	19.6	A:e
USGS	09066325	2000-12-01	17.0	A
USGS	09066325	2000-12-02	19.0	A
USGS	09066325	2000-12-03	19.0	A
USGS	09066325	2000-12-04	18.0	A
USGS	09066325	2000-12-05	18.0	A
USGS	09066325	2000-12-06	18.0	A
USGS	09066325	2000-12-07	18.0	A
USGS	09066325	2000-12-08	18.0	A
USGS	09066325	2000-12-09	19.0	A
USGS	09066325	2000-12-10	19.0	A
USGS	09066325	2000-12-11	18.0	A
USGS	09066325	2000-12-12	19.0	A
USGS	09066325	2000-12-13	20.0	A
USGS	09066325	2000-12-14	20.0	A
USGS	09066325	2000-12-15	20.0	A
USGS	09066325	2000-12-16	19.0	A
USGS	09066325	2000-12-17	20.0	A
USGS	09066325	2000-12-18	19.0	A
USGS	09066325	2000-12-19	19.0	A
USGS	09066325	2000-12-20	20.0	A
USGS	09066325	2000-12-21	19.0	A
USGS	09066325	2000-12-22	19.0	A
USGS	09066325	2000-12-23	19.0	A
USGS	09066325	2000-12-24	18.0	A
USGS	09066325	2000-12-25	18.0	A
USGS	09066325	2000-12-26	17.0	A
USGS	09066325	2000-12-27	18.0	A
USGS	09066325	2000-12-28	18.0	A
USGS	09066325	2000-12-29	17.0	A
USGS	09066325	2000-12-30	17.0	A
USGS	09066325	2000-12-31	18.0	A
USGS	09066325	2001-01-01	17.0	A
USGS	09066325	2001-01-02	16.0	A
USGS	09066325	2001-01-03	16.0	A
USGS	09066325	2001-01-04	16.0	A
USGS	09066325	2001-01-05	16.0	A
USGS	09066325	2001-01-06	16.0	A
USGS	09066325	2001-01-07	15.0	A
